Set_database_ID	Set_Name	Set_Components	Set_Organism	Set_db_id
1	BCL6-HDAC4 complex	ENSG00000113916,ENSG00000068024	Human	1
2	BCL6-HDAC5 complex	ENSG00000113916,ENSG00000108840	Human	2
3	BCL6-HDAC7 complex	ENSG00000113916,ENSG00000061273	Human	3
4	Multisubunit ACTR coactivator complex	ENSG00000005339,ENSG00000100393,ENSG00000124151,ENSG00000114166	Human	4
9	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	ENSG00000106546,ENSG00000143437	Mouse	9
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	ENSG00000107521,ENSG00000100099	Human	11
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	ENSG00000163755,ENSG00000110756,ENSG00000166189	Human	12
13	MUS81-CDS1 complex	ENSG00000163624,ENSG00000172732	Human	13
15	NCOR complex	ENSG00000106789,ENSG00000132522,ENSG00000171720,ENSG00000141027,ENSG00000101849,ENSG00000177565	Human	15
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	ENSG00000135441,ENSG00000196072,ENSG00000189114,ENSG00000186222,ENSG00000047579,ENSG00000188428,ENSG00000104164,ENSG00000143553	Human	23
25	9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	ENSG00000106546,ENSG00000110711,ENSG00000080824,ENSG00000096384	Mouse	25
27	Arp2/3 protein complex	ENSG00000138071,ENSG00000115091,ENSG00000130429,ENSG00000163466,ENSG00000111229,ENSG00000241553,ENSG00000162704	Human	27
29	PA28gamma complex	ENSG00000131467	Human	29
30	PA28 complex	ENSG00000092010,ENSG00000100911	Human	30
32	PA700 complex	ENSG00000100764,ENSG00000161057,ENSG00000165916,ENSG00000087191,ENSG00000100519,ENSG00000101843,ENSG00000197170,ENSG00000185627,ENSG00000115233,ENSG00000175166,ENSG00000108344,ENSG00000159352,ENSG00000095261,ENSG00000163636,ENSG00000103035,ENSG00000099341,ENSG00000110801	Human	32
34	Aqp4-Dag1-Dmd-Snta1 complex	ENSG00000171885,ENSG00000173402,ENSG00000101400,ENSG00000198947,ENSG00000198947,ENSG00000198947	Rat	34
36	AP1 adaptor complex	ENSG00000100280,ENSG00000166747,ENSG00000213983,ENSG00000072958,ENSG00000129354,ENSG00000106367,ENSG00000182287,ENSG00000152056	Human	36
37	CDH23-harmonin transmembrane complex	ENSG00000107736,ENSG00000006611	Mouse	37
39	immunoproteasome	ENSG00000129084,ENSG00000106588,ENSG00000100567,ENSG00000100902,ENSG00000101182,ENSG00000008018,ENSG00000205220,ENSG00000126067,ENSG00000108294,ENSG00000159377	Mouse	39
41	Mi-2/NuRD-MTA2 complex	ENSG00000113916,ENSG00000116478,ENSG00000071655,ENSG00000149480,ENSG00000057935	Human	41
42	CASK-MINT-VELI tripartite complex	ENSG00000107282,ENSG00000147044,ENSG00000111052,ENSG00000104863,ENSG00000148943	Rat	42
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant)	ENSG00000117362,ENSG00000162736,ENSG00000080815,ENSG00000205155	Human	45
47	DNA polymerase alpha-primase complex	ENSG00000101868,ENSG00000014138,ENSG00000198056,ENSG00000146143	Mouse	47
49	DNMT3B complex	ENSG00000088305,ENSG00000116478,ENSG00000090889,ENSG00000169375,ENSG00000153147,ENSG00000136824,ENSG00000113810	Human	49
50	Rab5 GDP/GTP exchange factor complex	ENSG00000029725,ENSG00000154710	Mouse	50
